"dB"      "codedlen"      "PLR" using |A|=1000
1.5    3100  0.710333
1.5    3200  0.622667
1.5    3300  0.535
1.5    3400  0.455667
1.5    3500  0.387667
1.5    3600  0.323
1.5    3700  0.263333
1.5    3800  0.220667
1.5    3900  0.173667
1.5    4000  0.142667
1.5    4100  0.123667
1.5    4200  0.0846667
1.5    4300  0.08
1.5    4400  0.063
1.5    4500  0.0513333
1.5    4600  0.038
1.5    4700  0.0333333
1.5    4800  0.0306667
1.5    4900  0.019
1.5    5000  0.0146667
1.5    5100  0.0156667
1.5    5200  0.0136667
1.5    5300  0.00866667
1.5    5400  0.007
1.5    5500  0.00333333
1.5    5600  0.00466667
1.5    5700  0.00466667
1.5    5800  0.002
1.5    5900  0.00166667
1.5    6000  0.00133333
1.5    6100  0.00166667
1.5    6200  0.00166667
1.5    6300  0.00166667
1.5    6400  0.000333333
1.5    6500  0.001
1.5    6600  0.000333333
1.5    6700  0.001
1.5    6800  0.001
1.5    6900  0.000666667
1.5    7000  0.000333333
1.5    7100  0
1.5    7200  0.000333333
1.5    7300  0
1.5    7400  0
1.5    7500  0
1.5    7600  0.000333333
1.5    7700  0
1.5    7800  0
1.5    7900  0
1.5    8000  0
1.5    8100  0
1.5    8200  0
1.5    8300  0
1.5    8400  0
1.5    8500  0
1.5    8600  0
1.5    8700  0
1.5    8800  0
1.5    8900  0
1.5    9000  0
1.5    9100  0
1.5    9200  0
1.5    9300  0
1.5    9400  0
1.5    9500  0
1.5    9600  0
1.5    9700  0
1.5    9800  0
1.5    9900  0
2    1000  1
2    1100  1
2    1200  1
2    1300  1
2    1400  1
2    1500  1
2    1600  1
2    1700  1
2    1800  1
2    1900  1
2    2000  1
2    2100  1
2    2200  1
2    2300  0.999667
2    2400  0.997
2    2500  0.982667
2    2600  0.959333
2    2700  0.888667
2    2800  0.802
2    2900  0.674333
2    3000  0.575
2    3100  0.470667
2    3200  0.400333
2    3300  0.316333
2    3400  0.248333
2    3500  0.214
2    3600  0.167667
2    3700  0.133333
2    3800  0.0973333
2    3900  0.0866667
2    4000  0.064
2    4100  0.0533333
2    4200  0.0393333
2    4300  0.0333333
2    4400  0.027
2    4500  0.0223333
2    4600  0.0156667
2    4700  0.013
2    4800  0.0103333
2    4900  0.00866667
2    5000  0.00433333
2    5100  0.00633333
2    5200  0.00433333
2    5300  0.004
2    5400  0.00166667
2    5500  0.00166667
2    5600  0.00133333
2    5700  0.00133333
2    5800  0.000666667
2    5900  0.000666667
2    6000  0.000333333
2    6100  0
2    6200  0.000666667
2    6300  0.000333333
2    6400  0
2    6500  0
2    6600  0
2    6700  0
2    6800  0.000666667
2    6900  0
2    7000  0
2    7100  0
2    7200  0
2    7300  0
2    7400  0
2    7500  0
2    7600  0
2    7700  0
2    7800  0
2    7900  0
2    8000  0
2    8100  0
2    8200  0
2    8300  0
2    8400  0
2    8500  0
2    8600  0
2    8700  0
2    8800  0
2    8900  0
2    9000  0
2    9100  0
2    9200  0
2    9300  0
2    9400  0
2    9500  0
2    9600  0
2    9700  0
2    9800  0
2    9900  0
2.5    1000  1
2.5    1100  1
2.5    1200  1
2.5    1300  1
2.5    1400  1
